vi,en
đau lưng,back_pain
táo bón,constipation
đau bụng,abdominal_pain
tiêu chảy,diarrhoea
sốt nhẹ,mild_fever
nước tiểu vàng,yellow_urine
vàng mắt,yellowing_of_eyes
suy gan cấp,acute_liver_failure
quá tải dịch,fluid_overload
sưng bụng,swelling_of_stomach
sưng hạch bạch huyết,swelled_lymph_nodes
khó chịu,malaise
mờ mắt và méo mó,blurred_and_distorted_vision
đờm,phlegm
kích ứng họng,throat_irritation
mắt đỏ,redness_of_eyes
áp lực xoang,sinus_pressure
sổ mũi,runny_nose
nghẹt mũi,congestion
đau ngực,chest_pain
yếu chân tay,weakness_in_limbs
nhịp tim nhanh,fast_heart_rate
đau khi đi tiêu,pain_during_bowel_movements
đau vùng hậu môn,pain_in_anal_region
phân có máu,bloody_stool
kích ứng hậu môn,irritation_in_anus
đau cổ,neck_pain
chóng mặt,dizziness
chuột rút,cramps
bầm tím,bruising
béo phì,obesity
sưng chân,swollen_legs
sưng mạch máu,swollen_blood_vessels
mặt và mắt sưng húp,puffy_face_and_eyes
tuyến giáp to,enlarged_thyroid
móng tay giòn,brittle_nails
sưng run rẩy,swollen_extremeties
đói quá mức,excessive_hunger
tiếp xúc ngoài hôn nhân,extra_marital_contacts
môi khô và ngứa ran,drying_and_tingling_lips
nói lắp,slurred_speech
đau đầu gối,knee_pain
đau khớp hông,hip_joint_pain
yếu cơ,muscle_weakness
cứng cổ,stiff_neck
sưng khớp,swelling_joints
cứng cử động,movement_stiffness
cử động xoay tròn,spinning_movements
mất thăng bằng,loss_of_balance
lắc lư,unsteadiness
yếu một bên cơ thể,weakness_of_one_body_side
mất khứu giác,loss_of_smell
khó chịu ở bàng quang,bladder_discomfort
mùi hôi nước tiểu,foul_smell_ofurine
cảm giác tiểu liên tục,continuous_feel_of_urine
xì hơi,passage_of_gases
ngứa bên trong,internal_itching
vẻ mặt nhiễm độc (thương hàn),toxic_look_(typhos)
trầm cảm,depression
cáu kỉnh,irritability
đau cơ,muscle_pain
cảm giác thay đổi,altered_sensorium
nốt đỏ trên cơ thể,red_spots_over_body
đau bụng,belly_pain
kinh nguyệt bất thường,abnormal_menstruation
mảng da đổi màu,dischromic_patches
nước tiểu Vòng tròn từ mắt,watering_from_eyes
tăng cảm giác thèm ăn,increased_appetite
đa niệu,polyuria
tiền sử gia đình,family_history
đờm nhầy,mucoid_sputum
đờm gỉ,rusty_sputum
thiếu tập trung,lack_of_concentration
rối loạn thị giác,visual_disturbances
nhận truyền máu,receiving_blood_transfusion
nhận tiêm không vô trùng,receiving_unsterile_injections
hôn mê,coma
chảy máu dạ dày,stomach_bleeding
chướng bụng,distention_of_abdomen
tiền sử uống rượu,history_of_alcohol_consumption
quá tải dịch,fluid_overload
máu trong đờm,blood_in_sputum
tĩnh mạch nổi rõ trên bắp chân,prominent_veins_on_calf
đánh trống ngực,palpitations
đi lại đau đớn,painful_walking
mụn nhọt đầy mủ,pus_filled_pimples
mụn đầu đen,blackheads
vảy nến,scurring
bong tróc da,skin_peeling
bụi bạc,silver_like_dusting
vết lõm nhỏ trên móng tay,small_dents_in_nails
móng tay bị viêm,inflammatory_nails
phồng rộp,blister
vết loét đỏ quanh mũi,red_sore_around_nose
rỉ dịch vỏ vàng,yellow_crust_ooze
tiên lượng,prognosis
