Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Bronchial Asthma,Chuyển sang cloose cloothing-switch to loose cloothing,hít thở sâu-take deep breaths,Thoát khỏi kích hoạt-get away from trigger,Tìm kiếm sự giúp đỡ-seek help
Alcoholic hepatitis,Ngừng uống rượu-stop alcohol consumption,Tham khảo ý kiến bác sĩ-consult doctor,Thuốc-medication,Theo dõi-follow up
Jaundice,Uống nhiều nước-drink plenty of water,Tiêu thụ cây kế sữa-consume milk thistle,ăn trái cây và thức ăn giàu chất xơ-eat fruits and high fiberous food,Thuốc-medication
Hepatitis E,Ngừng uống rượu-stop alcohol consumption,nghỉ ngơi-rest,Tham khảo ý kiến bác sĩ-consult doctor,Thuốc-medication
Dengue,Uống nước ép lá đu đủ-drink papaya leaf juice,Tránh thức ăn cay béo-avoid fatty spicy food,Tránh xa muỗi-keep mosquitos away,Giữ nước-keep hydrated
Hepatitis D,Tham khảo ý kiến bác sĩ-consult doctor,Thuốc-medication,Ăn uống lành mạnh-eat healthy,Theo dõi-follow up
Heart attack,Gọi xe cứu thương-call ambulance,nhai hoặc nuốt asprin-chew or swallow asprin,Giữ bình tĩnh-keep calm,
Pneumonia,Tham khảo ý kiến bác sĩ-consult doctor,Thuốc-medication,nghỉ ngơi-rest,Theo dõi-follow up
Arthritis,thể dục-exercise,Sử dụng liệu pháp nóng và lạnh-use hot and cold therapy,thử châm cứu-try acupuncture,sự xoa bóp-massage
Gastroenteritis,ngừng ăn thức ăn đặc trong thời gian-stop eating solid food for while,Hãy thử uống từng ngụm nước nhỏ-try taking small sips of water,nghỉ ngơi-rest,Dễ dàng ăn trở lại-ease back into eating
Tuberculosis,Che miệng-cover mouth,Tham khảo ý kiến bác sĩ-consult doctor,Thuốc-medication,nghỉ ngơi-rest
